,Critic_Score,Critic_Count,User_Score,User_Count
220,92.0,101.0,8.7,2633.0
221,88.0,20.0,9,233.0
222,80.0,9.0,5.4,46.0
223,62.0,14.0,7.7,92.0
224,94.0,87.0,8.7,1472.0
225,,,,
226,,,,
227,98.0,19.0,7.7,299.0
228,82.0,32.0,8.2,78.0
229,91.0,13.0,8.6,147.0
230,73.0,50.0,7.6,119.0
231,86.0,78.0,8.1,1264.0
232,,,,
233,96.0,80.0,8.9,968.0
234,86.0,36.0,8.4,87.0
235,86.0,74.0,8.4,458.0
236,91.0,83.0,8.2,617.0
237,,,,
238,91.0,30.0,7.9,78.0
239,85.0,69.0,7.9,165.0
240,,,,
241,84.0,29.0,8.2,39.0
242,84.0,101.0,6.4,2438.0
243,76.0,25.0,7.9,41.0
244,,,,
245,77.0,82.0,3.4,1129.0
246,94.0,75.0,8.9,997.0
247,81.0,88.0,8.5,1184.0
248,77.0,61.0,7.9,471.0
249,97.0,34.0,7.5,298.0
250,86.0,19.0,8.9,33.0
251,94.0,90.0,8.7,1109.0
252,,,,
253,82.0,36.0,9.1,137.0
254,56.0,37.0,8.3,31.0
255,,,4.8,207.0
256,86.0,70.0,8.1,715.0
257,,,,
258,87.0,64.0,9,766.0
259,,,,
260,93.0,83.0,9,1607.0
261,,,,
262,,,,
263,,,4.9,221.0
264,,,4.5,109.0
265,89.0,95.0,6.5,2423.0
266,79.0,10.0,7.3,6.0
267,91.0,70.0,8.9,1122.0
268,91.0,68.0,9.3,955.0
269,80.0,39.0,7.5,613.0
270,88.0,39.0,6.2,1749.0
271,84.0,41.0,4.2,435.0
272,85.0,59.0,8.7,109.0
273,,,,
274,80.0,32.0,7.8,47.0
275,80.0,32.0,7.5,22.0
276,80.0,67.0,7.1,120.0
277,80.0,77.0,7.2,564.0
278,,,,
279,,,,
280,94.0,61.0,7.3,330.0
281,,,,
282,,,,
283,95.0,25.0,7.7,65.0
284,96.0,24.0,9.1,3161.0
285,,,,
286,,,,
287,,,,
288,91.0,46.0,7.9,785.0
289,88.0,31.0,8.4,809.0
290,93.0,70.0,8.9,709.0
291,,,8.2,23.0
292,84.0,81.0,8.1,769.0
293,90.0,66.0,8.3,381.0
294,56.0,27.0,6,44.0
295,80.0,80.0,6.3,2996.0
296,,,,
297,85.0,25.0,8.5,117.0
